Ox,HOx,H2Ox+2,HRed1,H2Red1+,H3Red1+2,H2Red2,H3Red2+,H4Red2+2
CCP(=O)(CC)C1=CC(=N)C=CC1=C1C=CC(=N)C=C1P(=O)(CC)CC,CCP(=O)(CC)C1=CC(=N)C=CC1=C1C=CC(=[NH2+])C=C1P(=O)(CC)CC,CCP(=O)(CC)C1=CC(=[NH2+])C=CC1=C1C=CC(=[NH2+])C=C1P(=O)(CC)CC,CCP(=O)(CC)C1=CC(=N)C=C[C]1C1=C(P(=O)(CC)CC)C=C(N)C=C1,CCP(=O)(CC)C1=CC(=[NH2])C=C[C]1C1=C(P(=O)(CC)CC)C=C(N)C=C1,CCP(=O)(CC)C1=CC(=[NH2])C=C[C]1C1=C(P(=O)(CC)CC)C=C([NH3])C=C1,CCP(=O)(CC)c1cc(N)ccc1-c1ccc(N)cc1P(=O)(CC)CC,CCP(=O)(CC)c1cc(N)ccc1-c1ccc([NH3])cc1P(=O)(CC)CC,CCP(=O)(CC)c1cc([NH3])ccc1-c1ccc([NH3])cc1P(=O)(CC)CC
C=CCC1=CC(=C2C=CC(=N)C(CC=C)=C2)C=CC1=N,C=CCC1=CC(=C2C=CC(=[NH2+])C(CC=C)=C2)C=CC1=N,C=CCC1=CC(=C2C=CC(=[NH2+])C(CC=C)=C2)C=CC1=[NH2+],C=CCC1=C[C](C2=CC=C(N)C(CC=C)=C2)C=CC1=N,C=CCC1=C[C](C2=CC=C(N)C(CC=C)=C2)C=CC1=[NH2],C=CCC1=C[C](C2=CC=C([NH3])C(CC=C)=C2)C=CC1=[NH2],C=CCc1cc(-c2ccc(N)c(CC=C)c2)ccc1N,C=CCc1cc(-c2ccc([NH3])c(CC=C)c2)ccc1N,C=CCc1cc(-c2ccc([NH3])c(CC=C)c2)ccc1[NH3]
N=C1C=CC(=C2C=CC(=N)C=C2Br)C(Br)=C1,N=C1C=CC(=C2C=CC(=[NH2+])C=C2Br)C(Br)=C1,[NH2+]=C1C=CC(=C2C=CC(=[NH2+])C=C2Br)C(Br)=C1,N=C1C=C[C](C2=CC=C(N)C=C2Br)C(Br)=C1,NC1=CC=C([C]2C=CC(=[NH2])C=C2Br)C(Br)=C1,[NH2]=C1C=C[C](C2=CC=C([NH3])C=C2Br)C(Br)=C1,Nc1ccc(-c2ccc(N)cc2Br)c(Br)c1,Nc1ccc(-c2ccc([NH3])cc2Br)c(Br)c1,[NH3]c1ccc(-c2ccc([NH3])cc2Br)c(Br)c1
N=C1C=CC(=C2C=CC(=N)C(C(F)F)=C2)C=C1C(F)F,N=C1C=CC(=C2C=CC(=[NH2+])C(C(F)F)=C2)C=C1C(F)F,[NH2+]=C1C=CC(=C2C=CC(=[NH2+])C(C(F)F)=C2)C=C1C(F)F,N=C1C=C[C](C2=CC=C(N)C(C(F)F)=C2)C=C1C(F)F,NC1=CC=C([C]2C=CC(=[NH2])C(C(F)F)=C2)C=C1C(F)F,[NH2]=C1C=C[C](C2=CC=C([NH3])C(C(F)F)=C2)C=C1C(F)F,Nc1ccc(-c2ccc(N)c(C(F)F)c2)cc1C(F)F,Nc1ccc(-c2ccc([NH3])c(C(F)F)c2)cc1C(F)F,[NH3]c1ccc(-c2ccc([NH3])c(C(F)F)c2)cc1C(F)F
N=C1C=C(F)C(=C2C(F)=CC(=N)C=C2S(F)(F)(F)(F)F)C(S(F)(F)(F)(F)F)=C1,N=C1C=C(F)C(=C2C(F)=CC(=[NH2+])C=C2S(F)(F)(F)(F)F)C(S(F)(F)(F)(F)F)=C1,[NH2+]=C1C=C(F)C(=C2C(F)=CC(=[NH2+])C=C2S(F)(F)(F)(F)F)C(S(F)(F)(F)(F)F)=C1,N=C1C=C(F)[C](C2=C(F)C=C(N)C=C2S(F)(F)(F)(F)F)C(S(F)(F)(F)(F)F)=C1,NC1=CC(F)=C([C]2C(F)=CC(=[NH2])C=C2S(F)(F)(F)(F)F)C(S(F)(F)(F)(F)F)=C1,[NH2]=C1C=C(F)[C](C2=C(F)C=C([NH3])C=C2S(F)(F)(F)(F)F)C(S(F)(F)(F)(F)F)=C1,Nc1cc(F)c(-c2c(F)cc(N)cc2S(F)(F)(F)(F)F)c(S(F)(F)(F)(F)F)c1,Nc1cc(F)c(-c2c(F)cc([NH3])cc2S(F)(F)(F)(F)F)c(S(F)(F)(F)(F)F)c1,[NH3]c1cc(F)c(-c2c(F)cc([NH3])cc2S(F)(F)(F)(F)F)c(S(F)(F)(F)(F)F)c1
CC#CC1=CC(=C2C=CC(=N)C(C#CC)=C2)C=CC1=N,CC#CC1=CC(=C2C=CC(=[NH2+])C(C#CC)=C2)C=CC1=N,CC#CC1=CC(=C2C=CC(=[NH2+])C(C#CC)=C2)C=CC1=[NH2+],CC#CC1=C[C](C2=CC=C(N)C(C#CC)=C2)C=CC1=N,CC#CC1=C[C](C2=CC=C(N)C(C#CC)=C2)C=CC1=[NH2],CC#CC1=C[C](C2=CC=C([NH3])C(C#CC)=C2)C=CC1=[NH2],CC#Cc1cc(-c2ccc(N)c(C#CC)c2)ccc1N,CC#Cc1cc(-c2ccc([NH3])c(C#CC)c2)ccc1N,CC#Cc1cc(-c2ccc([NH3])c(C#CC)c2)ccc1[NH3]
N=C1C=C(I)C(=C2C=C(N)C(=N)C(F)=C2Br)C(F)=C1N,N=C1C(N)=CC(=C2C(I)=CC(=[NH2+])C(N)=C2F)C(Br)=C1F,NC1=CC(=C2C(I)=CC(=[NH2+])C(N)=C2F)C(Br)=C(F)C1=[NH2+],N=C1C(N)=C[C](C2=C(I)C=C(N)C(N)=C2F)C(Br)=C1F,NC1=C[C](C2=C(I)C=C(N)C(N)=C2F)C(Br)=C(F)C1=[NH2],NC1=C[C](C2=C(I)C=C([NH3])C(N)=C2F)C(Br)=C(F)C1=[NH2],Nc1cc(-c2c(I)cc(N)c(N)c2F)c(Br)c(F)c1N,Nc1cc(-c2c(I)cc([NH3])c(N)c2F)c(Br)c(F)c1N,Nc1cc(-c2c(I)cc([NH3])c(N)c2F)c(Br)c(F)c1[NH3]
N=C1C=C(I)C(=C2C(I)=CC(=N)C(N)=C2F)C(F)=C1N,N=C1C=C(I)C(=C2C(I)=CC(=[NH2+])C(N)=C2F)C(F)=C1N,NC1=C(F)C(=C2C(I)=CC(=[NH2+])C(N)=C2F)C(I)=CC1=[NH2+],N=C1C=C(I)[C](C2=C(I)C=C(N)C(N)=C2F)C(F)=C1N,NC1=CC(I)=C([C]2C(I)=CC(=[NH2])C(N)=C2F)C(F)=C1N,NC1=C(F)[C](C2=C(I)C=C([NH3])C(N)=C2F)C(I)=CC1=[NH2],Nc1cc(I)c(-c2c(I)cc(N)c(N)c2F)c(F)c1N,Nc1cc(I)c(-c2c(I)cc([NH3])c(N)c2F)c(F)c1N,Nc1c([NH3])cc(I)c(-c2c(I)cc([NH3])c(N)c2F)c1F
N=C1C(N)=CC(=C2C=C(N)C(=N)C(F)=C2Br)C(Br)=C1F,N=C1C(N)=CC(=C2C=C(N)C(=[NH2+])C(F)=C2Br)C(Br)=C1F,NC1=CC(=C2C=C(N)C(=[NH2+])C(F)=C2Br)C(Br)=C(F)C1=[NH2+],N=C1C(N)=C[C](C2=CC(N)=C(N)C(F)=C2Br)C(Br)=C1F,NC1=C[C](C2=CC(N)=C(N)C(F)=C2Br)C(Br)=C(F)C1=[NH2],NC1=C[C](C2=CC(N)=C([NH3])C(F)=C2Br)C(Br)=C(F)C1=[NH2],Nc1cc(-c2cc(N)c(N)c(F)c2Br)c(Br)c(F)c1N,Nc1cc(-c2cc(N)c([NH3])c(F)c2Br)c(Br)c(F)c1N,Nc1cc(-c2cc(N)c([NH3])c(F)c2Br)c(Br)c(F)c1[NH3]
N=C1C=CC(=C2C=CC(=N)C(N=P)=C2)C=C1N=P,N=C1C=CC(=C2C=CC(=[NH2+])C(N=P)=C2)C=C1N=P,[NH2+]=C1C=CC(=C2C=CC(=[NH2+])C(N=P)=C2)C=C1N=P,N=C1C=C[C](C2=CC=C(N)C(N=P)=C2)C=C1N=P,NC1=CC=C([C]2C=CC(=[NH2])C(N=P)=C2)C=C1N=P,[NH2]=C1C=C[C](C2=CC=C([NH3])C(N=P)=C2)C=C1N=P,Nc1ccc(-c2ccc(N)c(N=P)c2)cc1N=P,Nc1ccc(-c2ccc([NH3])c(N=P)c2)cc1N=P,[NH3]c1ccc(-c2ccc([NH3])c(N=P)c2)cc1N=P
N=C1C=CC(=C2C=CC(=N)C=C2)C=C1,N=C1C=CC(=C2C=CC(=[NH2+])C=C2)C=C1,[NH2+]=C1C=CC(=C2C=CC(=[NH2+])C=C2)C=C1,N=C1C=C[C](C2=CC=C(N)C=C2)C=C1,NC1=CC=C([C]2C=CC(=[NH2])C=C2)C=C1,[NH2]=C1C=C[C](C2=CC=C([NH3])C=C2)C=C1,Nc1ccc(-c2ccc(N)cc2)cc1,Nc1ccc(-c2ccc([NH3])cc2)cc1,[NH3]c1ccc(-c2ccc([NH3])cc2)cc1
