ID,SMILES,Solubility,Mean,Occurrence
A-1,Clc1ccccc1Cl,-3.177212386,-3.058194338,8
A-7,Clc1ccccc1Cl,-3.202127451,-3.058194338,8
A-149,Clc1ccccc1Cl,-2.974204554,-3.058194338,8
A-155,Clc1ccccc1Cl,-2.991237893,-3.058194338,8
A-161,Clc1ccccc1Cl,-3.00596115,-3.058194338,8
A-163,Clc1ccccc1Cl,-3.021201116,-3.058194338,8
A-165,Clc1ccccc1Cl,-3.040224354,-3.058194338,8
A-3047,Clc1ccccc1Cl,-3.0533858,-3.058194338,8
A-6,C[Si](C)(C)N[Si](C)(C)C,-2.244107631,-1.787015157,3
A-4118,C[Si](C)(C)N[Si](C)(C)C,-0.906865462,-1.787015157,3
A-4704,C[Si](C)(C)N[Si](C)(C)C,-2.210072377,-1.787015157,3
A-13,CC(C)=CCC\C(C)=C/CO,-2.280134812,-2.341535814,4
A-23,CC(C)=CCC\C(C)=C/CO,-2.320601166,-2.341535814,4
A-366,CC(C)=CCC\C(C)=C/CO,-2.302307279,-2.341535814,4
B-495,CC(C)=CCC\C(C)=C/CO,-2.4631,-2.341535814,4
A-14,Fc1ccc(cc1)C(=O)c2ccc(F)cc2,-4.396652185,-4.828164833,2
A-187,Fc1ccc(cc1)C(=O)c2ccc(F)cc2,-5.259677481,-4.828164833,2
A-15,O=C(OCCCOCCCOC(=O)c1ccccc1)c2ccccc2,-4.595502564,-4.476951282,2
B-2688,O=C(OCCCOCCCOC(=O)c1ccccc1)c2ccccc2,-4.3584,-4.476951282,2
A-16,CC(C)(C)C1CCC(CC1)OC(=O)C=C,-3.428004722,-3.863745731,3
A-526,CC(C)(C)C1CCC(CC1)OC(=O)C=C,-3.539328096,-3.863745731,3
A-703,CC(C)(C)C1CCC(CC1)OC(=O)C=C,-4.623904374,-3.863745731,3
A-19,Cc1ccc(O)c(C)c1.Cc2ccc(C)c(O)c2.Cc3cc(C)cc(O)c3.Cc4ccc(O)cc4C.Cc5cccc(O)c5C.Cc6cccc(C)c6O,-1.980309796,-2.04755838,4
A-173,Cc1ccc(O)c(C)c1.Cc2ccc(C)c(O)c2.Cc3cc(C)cc(O)c3.Cc4ccc(O)cc4C.Cc5cccc(O)c5C.Cc6cccc(C)c6O,-1.823712475,-2.04755838,4
A-720,Cc1ccc(O)c(C)c1.Cc2ccc(C)c(O)c2.Cc3cc(C)cc(O)c3.Cc4ccc(O)cc4C.Cc5cccc(O)c5C.Cc6cccc(C)c6O,-2.183863922,-2.04755838,4
A-745,Cc1ccc(O)c(C)c1.Cc2ccc(C)c(O)c2.Cc3cc(C)cc(O)c3.Cc4ccc(O)cc4C.Cc5cccc(O)c5C.Cc6cccc(C)c6O,-2.202347328,-2.04755838,4
A-20,Cc1cccc(C)c1O,-1.202158545,-1.27923977,6
A-174,Cc1cccc(C)c1O,-1.045561224,-1.27923977,6
A-494,Cc1cccc(C)c1O,-1.292396158,-1.27923977,6
A-522,Cc1cccc(C)c1O,-1.305413941,-1.27923977,6
A-721,Cc1cccc(C)c1O,-1.405712672,-1.27923977,6
A-747,Cc1cccc(C)c1O,-1.424196078,-1.27923977,6
A-24,CC(Oc1ccc(Cl)cc1C)C(O)=O,-2.466030786,-2.488832697,4
B-4181,CC(Oc1ccc(Cl)cc1C)C(O)=O,-2.5393,-2.488832697,4
C-1809,CC(OC1=C(C)C=C(Cl)C=C1)C(O)=O,-2.4,-2.488832697,4
E-858,O=C(O)C(Oc(c(cc(c1)Cl)C)c1)C,-2.55,-2.488832697,4
A-29,CC(C)=C1CCC(=CC1)C,-4.287342935,-4.306743266,3
A-66,CC(C)=C1CCC(=CC1)C,-4.476286863,-4.306743266,3
B-1245,CC(C)=C1CCC(=CC1)C,-4.1566,-4.306743266,3
A-35,CO[Si](OC)(C1CCCC1)C2CCCC2,-3.580560061,-4.10667987,2
A-692,CO[Si](OC)(C1CCCC1)C2CCCC2,-4.632799679,-4.10667987,2
A-36,CC1(C)C2CCC(=C)C1C2,-4.292313455,-5.072434822,3
A-1845,CC1(C)C2CCC(=C)C1C2,-4.091722747,-5.072434822,3
A-2449,CC1(C)C2CCC(=C)C1C2,-6.833268264,-5.072434822,3
A-37,O=C1CCCCCCCCCCCC(=O)OCCO1,-4.612412959,-4.324593375,4
A-1633,O=C1CCCCCCCCCCCC(=O)OCCO1,-4.227836912,-4.324593375,4
A-1705,O=C1CCCCCCCCCCCC(=O)OCCO1,-4.261695179,-4.324593375,4
A-5415,O=C1CCCCCCCCCCCC(=O)OCCO1,-4.196428448,-4.324593375,4
A-38,CCCCCCCC\C=C/CCCCCCCC(O)=O.NCCNCCO,-4.809134189,-4.776830852,3
A-102,CCCCCCCC\C=C/CCCCCCCC(O)=O.NCCNCCO,-5.110164185,-4.776830852,3
A-157,CCCCCCCC\C=C/CCCCCCCC(O)=O.NCCNCCO,-4.411194181,-4.776830852,3
A-39,CCCCCCCCCCCCOC(=O)C(C)O,-4.63414462,-4.527607208,2
A-2365,CCCCCCCCCCCCOC(=O)C(C)O,-4.421069795,-4.527607208,2
A-40,CCCCCCCC\C=C/CCCCCCCC(O)=O.NCCNCCN,-4.808027445,-4.595468025,4
A-85,CCCCCCCC\C=C/CCCCCCCC(O)=O.NCCNCCN,-4.054699779,-4.595468025,4
A-103,CCCCCCCC\C=C/CCCCCCCC(O)=O.NCCNCCN,-5.109057441,-4.595468025,4
A-158,CCCCCCCC\C=C/CCCCCCCC(O)=O.NCCNCCN,-4.410087437,-4.595468025,4
A-41,CCCC(C)C.CCCC(C)CC.CCC(C)CC.CCC(C)C(C)C,-3.800584282,-3.472382665,5
A-392,CCCC(C)C.CCCC(C)CC.CCC(C)CC.CCC(C)C(C)C,-2.715311849,-3.472382665,5
